Name,Current_File,Level,Task_Detail,Last_Updated,Last_Seen,Status
Member_1,Idle,Level 2,-,14:20,2026-02-07 14:22:09,⚫ Offline
Member_2,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_3,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_4,Idle,-,-,11:39:24,2026-02-12 14:57:20,Offline
Member_5,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_6,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_7,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_8,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_9,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_10,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_11,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_12,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_13,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_14,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_15,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_16,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_17,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_18,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_19,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Member_20,Idle,-,-,11:39:24,2026-02-07 11:39:24,Offline
Pakapon,Idle,Level 2,แก้ราง,14:06,2026-02-12 16:54:12,Offline
